id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
16932132,Maruti Suzuki,Celerio,ZXI Plus AMT,32810,2022,600582.0,petrol,1,hatchback,automatic,AMT,Ahmedabad,2022,2025.0,12.0
17514495,Maruti Suzuki,Ignis,Zeta AMT Petrol,32753,2018,515000.0,petrol,1,hatchback,automatic,AMT,Ahmedabad,2019,2025.0,12.0
14713048,Kia,Seltos,GTX Plus DCT,34064,2021,1370999.0,petrol,1,suv,automatic,DCT,Ahmedabad,2021,2025.0,12.0
17128740,Maruti Suzuki,Swift Dzire,VXI,73391,2014,408436.0,petrol,1,sedan,manual,regular,Ahmedabad,2014,2025.0,12.0
16590454,Hyundai,Eon,Era +,23785,2017,299788.0,petrol,1,hatchback,manual,regular,Ahmedabad,2017,2025.0,12.0
18188858,Maruti Suzuki,Ciaz,Alpha Petrol,29366,2021,847052.0,petrol,1,sedan,manual,regular,Ahmedabad,2021,2025.0,12.0
16806453,Hyundai,New Santro 1.1,Magna,24710,2019,437610.0,petrol,1,hatchback,manual,regular,Ahmedabad,2019,2025.0,12.0
14844863,Skoda,Kushaq,Style 1.0L TSI MT,80444,2021,1075000.0,petrol,1,suv,manual,regular,Ahmedabad,2022,2025.0,12.0
16954392,Maruti Suzuki,Ignis,Zeta MT Petrol,69998,2017,420508.0,petrol,1,hatchback,manual,regular,Ahmedabad,2017,2025.0,12.0
17333689,Honda,Amaze,1.2 S i-VTEC,49166,2019,542234.0,petrol,1,sedan,manual,regular,Ahmedabad,2019,2025.0,12.0
17015295,Maruti Suzuki,Wagon R 1.0,LXI,36795,2013,289000.0,petrol,1,hatchback,manual,regular,Ahmedabad,2014,2025.0,12.0
17407949,Skoda,Kushaq,Ambition 1.0L TSI MT,25812,2023,1157127.0,petrol,1,suv,manual,regular,Ahmedabad,2023,2026.0,5.0
17238732,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,27076,2017,458000.0,petrol,2,hatchback,manual,regular,Ahmedabad,2017,2025.0,12.0
16271846,Maruti Suzuki,Wagon R 1.0,VXI,109052,2015,302000.0,petrol,1,hatchback,manual,regular,Ahmedabad,2015,2025.0,12.0
16826919,Hyundai,Eon,Magna +,58034,2018,352100.0,petrol,1,hatchback,manual,regular,Ahmedabad,2018,2025.0,5.0
16188215,Hyundai,New Santro 1.1,Sportz MT,116932,2020,418000.0,petrol,1,hatchback,manual,regular,Ahmedabad,2020,2025.0,12.0
16777014,Kia,Sonet,HTX Plus 1.0 iMT,62069,2021,919000.0,petrol,1,suv,manual,iMT,Ahmedabad,2021,2025.0,12.0
17575943,Maruti Suzuki,Ignis,Zeta MT Petrol,49092,2019,467790.0,petrol,1,hatchback,manual,regular,Ahmedabad,2019,2025.0,10.0
17462927,Mahindra,XUV 300,W8 (O) Diesel,74623,2022,980850.0,diesel,1,suv,manual,regular,Ahmedabad,2022,2025.0,8.0
16615267,Honda,WR-V,i-DTEC VX,78691,2021,777638.0,diesel,2,suv,manual,regular,Ahmedabad,2021,2025.0,12.0
17015295,Maruti Suzuki,Wagon R 1.0,LXI,36795,2013,289000.0,petrol,1,hatchback,manual,regular,Ahmedabad,2014,2025.0,12.0
17407949,Skoda,Kushaq,Ambition 1.0L TSI MT,25812,2023,1157127.0,petrol,1,suv,manual,regular,Ahmedabad,2023,2026.0,5.0
17897071,Hyundai,Grand i10 Nios,Magna 1.2 Kappa VTVT,10834,2022,595552.0,petrol,1,hatchback,manual,regular,Ahmedabad,2022,2025.0,11.0
17957162,Volkswagen,Taigun,Topline 1.0 TSI MT,28165,2022,1196751.0,petrol,1,suv,manual,regular,Ahmedabad,2023,2026.0,1.0
17460301,Maruti Suzuki,Wagon R 1.2,ZXI,18117,2022,485000.0,petrol,2,hatchback,manual,regular,Ahmedabad,2022,2025.0,12.0
15927982,Kia,Sonet,HTX 1.0 iMT,30159,2021,882000.0,petrol,1,suv,manual,iMT,Ahmedabad,2021,2025.0,12.0
17916202,Maruti Suzuki,Alto K10,VXI,24504,2019,359142.0,petrol,1,hatchback,manual,regular,Ahmedabad,2019,2025.0,12.0
17433748,Maruti Suzuki,XL6,Alpha AT Petrol,69661,2020,909000.0,petrol,1,muv,automatic,Torque Convertor,Ahmedabad,2020,2025.0,8.0
16165615,Hyundai,New Santro 1.1,Sportz AMT,31156,2021,485000.0,petrol,2,hatchback,automatic,AMT,Ahmedabad,2021,2025.0,12.0
17585849,Renault,Kwid,RXL,17813,2019,324000.0,petrol,1,hatchback,manual,regular,Ahmedabad,2019,2025.0,12.0
