id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
17272491,Tata,Nexon,XZA Plus AMT Petrol,15239,2022,1038000.0,petrol,1,suv,automatic,AMT,Bangalore,2022,2025.0,12.0
16287689,Hyundai,Venue,SX Plus 1.0 Turbo DCT,38521,2020,1003066.0,petrol,1,suv,automatic,DCT,Bangalore,2020,2025.0,12.0
16595658,Hyundai,Venue,SX Plus 1.0 Turbo DCT,46245,2019,956000.0,petrol,1,suv,automatic,DCT,Bangalore,2019,2025.0,12.0
17077733,Kia,Seltos,HTX G,78235,2020,1100955.0,petrol,1,suv,manual,regular,Bangalore,2021,2025.0,12.0
17569302,Renault,Kiger,RXZ Turbo CVT,36150,2022,941000.0,petrol,1,suv,automatic,CVT,Bangalore,2022,2025.0,12.0
17789871,Kia,Sonet,HTX Plus 1.0 iMT,48032,2020,997000.0,petrol,1,suv,manual,iMT,Bangalore,2020,2025.0,12.0
17127399,Hyundai,Venue,SX 1.0 (O) Turbo,38727,2019,897000.0,petrol,1,suv,manual,regular,Bangalore,2019,2025.0,12.0
18150738,Honda,Jazz,ZX,21815,2021,839000.0,petrol,1,hatchback,manual,regular,Bangalore,2021,2025.0,11.0
17722372,Hyundai,Eon,Era + (O),52108,2016,278000.0,petrol,2,hatchback,manual,regular,Bangalore,2016,2025.0,12.0
17421414,Maruti Suzuki,Ciaz,Alpha AT Petrol,79390,2021,895000.0,petrol,1,sedan,automatic,Torque Convertor,Bangalore,2021,2025.0,12.0
17344336,Hyundai,Elite i20,Asta 1.2 (O),103380,2018,648000.0,petrol,1,hatchback,manual,regular,Bangalore,2018,2025.0,9.0
17504026,Hyundai,Eon,Magna +,37366,2014,275000.0,petrol,2,hatchback,manual,regular,Bangalore,2014,2025.0,12.0
13548507,Mahindra,XUV500,W8 AT,70863,2017,1130093.0,diesel,1,suv,automatic,,Bangalore,2017,2025.0,12.0
