id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
16726083,Tata,Tiago,Revotron XZ Plus,68955,2020,494000.0,petrol,1,hatchback,manual,regular,Chandigarh,2020,2025.0,6.0
17471100,Mahindra,XUV 300,W8 (O) Petrol,20059,2022,997000.0,petrol,1,suv,manual,regular,Chandigarh,2022,2025.0,12.0
15239614,Ford,Endeavour,Titanium 3.2 4x4 AT,51355,2016,1958000.0,diesel,1,suv,automatic,,Chandigarh,2017,2025.0,12.0
16571039,Maruti Suzuki,Swift,ZXI,24469,2023,713000.0,petrol,1,hatchback,manual,regular,Chandigarh,2023,2025.0,9.0
17996254,Hyundai,Grand i10 Nios,Magna 1.2,11684,2023,617000.0,petrol,1,hatchback,manual,regular,Chandigarh,2024,2025.0,12.0
14456098,Maruti Suzuki,New Ertiga,ZXI+ AT,33822,2022,1076000.0,petrol,1,muv,automatic,,Chandigarh,2022,2025.0,12.0
14871456,Mahindra,Thar,LX 4 STR Convertible Diesel MT 4WD,15739,2022,1318000.0,diesel,1,suv,manual,regular,Chandigarh,2023,2025.0,12.0
14971500,Maruti Suzuki,Celerio,ZXI Plus,26981,2022,550000.0,petrol,1,hatchback,manual,regular,Chandigarh,2022,2025.0,12.0
16533745,Maruti Suzuki,Ciaz,Alpha AT Petrol,85659,2021,811000.0,petrol,1,sedan,automatic,Torque Convertor,Chandigarh,2021,2025.0,12.0
13938349,Skoda,Slavia,Style 1.5L TSI MT,23736,2022,1382000.0,petrol,1,sedan,manual,regular,Chandigarh,2022,2025.0,12.0
16854305,Maruti Suzuki,Baleno,Zeta Petrol,60502,2016,487000.0,petrol,1,hatchback,manual,regular,Chandigarh,2016,2025.0,12.0
17047257,Volkswagen,Taigun,Highline 1.0 TSI MT,24495,2022,1122837.0,petrol,1,suv,manual,regular,Chandigarh,2022,2025.0,12.0
17955210,Hyundai,Elite i20,Asta 1.2 Dual Tone,33343,2018,572000.0,petrol,1,hatchback,manual,regular,Chandigarh,2018,2025.0,12.0
17318161,Maruti Suzuki,S-Presso,VXI Plus,34025,2020,402000.0,petrol,1,hatchback,manual,regular,Chandigarh,2020,2025.0,10.0
17484425,Mahindra,XUV500,W10,89534,2016,809000.0,diesel,1,suv,manual,regular,Chandigarh,2016,2025.0,9.0
