id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
16998669,Maruti Suzuki,Baleno,RS Petrol,58010,2018,619000.0,petrol,1,hatchback,manual,regular,Chennai,2018,2025.0,12.0
17230390,Hyundai,Tucson,2WD MT Petrol,69685,2017,1088683.0,petrol,2,suv,manual,regular,Chennai,2017,2025.0,5.0
17678596,Honda,Jazz,ZX CVT,43931,2021,843000.0,petrol,1,hatchback,automatic,CVT,Chennai,2021,2025.0,12.0
16554944,Hyundai,Venue,SX 1.0  Turbo iMT,50806,2022,897000.0,petrol,1,suv,manual,iMT,Chennai,2022,2025.0,12.0
17099772,Skoda,Kushaq,Style 1.0L TSI MT,38308,2022,1322000.0,petrol,1,suv,manual,regular,Chennai,2022,2025.0,12.0
15454481,Tata,Harrier,XZ,28939,2022,1658000.0,diesel,1,suv,manual,regular,Chennai,2022,2025.0,12.0
16841288,Renault,Kwid,RXT 1.0 SCE Special (O),54857,2018,368000.0,petrol,1,hatchback,manual,regular,Chennai,2018,2025.0,5.0
16047944,Hyundai,Venue,SX 1.0  Turbo,21458,2022,949000.0,petrol,1,suv,manual,regular,Chennai,2022,2025.0,3.0
15533361,Renault,Kiger,RXZ Turbo CVT,11004,2023,997000.0,petrol,1,suv,automatic,CVT,Chennai,2023,,
16691319,Renault,Kiger,RXZ 1.0 Turbo MT Dual Tone,19690,2022,814000.0,petrol,1,suv,manual,regular,Chennai,2023,2025.0,12.0
17683450,Kia,Seltos,HTK Plus iMT,14759,2023,1271493.0,petrol,1,suv,manual,iMT,Chennai,2023,2025.0,4.0
17214560,Hyundai,Verna,SX Petrol,34456,2021,1039000.0,petrol,1,sedan,manual,regular,Chennai,2021,2025.0,4.0
17717375,Kia,Seltos,HTX G,50368,2021,1238163.0,petrol,1,suv,manual,regular,Chennai,2021,2025.0,6.0
16554795,Maruti Suzuki,Baleno,Alpha Petrol,111936,2019,593000.0,petrol,1,hatchback,manual,regular,Chennai,2019,2025.0,12.0
16428268,Hyundai,Elite i20,Asta 1.2 Dual Tone,113644,2018,602000.0,petrol,1,hatchback,manual,regular,Chennai,2018,2025.0,12.0
15835452,Renault,Kwid,CLIMBER 1.0 AMT,55966,2017,364516.0,petrol,2,hatchback,automatic,AMT,Chennai,2017,2025.0,12.0
17584904,Renault,Kwid,1.0 RXT AMT Opt,18533,2019,448000.0,petrol,1,hatchback,automatic,AMT,Chennai,2019,2025.0,12.0
17723558,Hyundai,Grand i10,Sportz (O) AT 1.2 Kappa VTVT,103165,2017,436000.0,petrol,2,hatchback,automatic,Torque Convertor,Chennai,2017,2025.0,12.0
15160808,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,106532,2019,481000.0,petrol,1,hatchback,manual,regular,Chennai,2019,2025.0,12.0
