id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
17513931,Hyundai,Tucson,2WD MT Petrol,16467,2017,1189585.0,petrol,1,suv,manual,regular,Delhi,2017,2025.0,12.0
15562671,Maruti Suzuki,Baleno,Delta Petrol,36252,2017,499000.0,petrol,1,hatchback,manual,regular,Faridabad,2017,2025.0,4.0
17174511,Ford,EcoSport,Titanium 1.5L Ti-VCT AT,42958,2017,668000.0,petrol,1,suv,automatic,Torque Convertor,Delhi,2017,2025.0,12.0
16146736,Hyundai,Elite i20,Sportz 1.2,60721,2015,465000.0,petrol,1,hatchback,manual,regular,Gurgaon,2015,2025.0,12.0
17754824,Maruti Suzuki,Dzire,ZXI Plus,5054,2023,816000.0,petrol,1,sedan,manual,regular,Ghaziabad,2023,2025.0,4.0
17681544,Maruti Suzuki,Ciaz,S Petrol,60955,2018,678000.0,Petrol,1,sedan,manual,regular,Ghaziabad,2018,2025.0,12.0
15566592,Maruti Suzuki,Baleno,Alpha AT Petrol,27302,2018,659000.0,petrol,1,hatchback,automatic,CVT,Noida,2018,2025.0,12.0
15326706,MG Motors,Hector Plus,Select 2.0 Diesel Turbo MT 7-STR,79371,2021,1443000.0,diesel,1,suv,manual,regular,Ghaziabad,2021,2025.0,12.0
15335243,Maruti Suzuki,Baleno,Alpha Petrol,37180,2017,568000.0,petrol,1,hatchback,manual,regular,Delhi,2017,2025.0,12.0
15894257,Maruti Suzuki,Dzire,VXI,50683,2018,507000.0,petrol,1,sedan,manual,regular,Noida,2018,2025.0,12.0
16124474,Maruti Suzuki,Baleno,Zeta Petrol,103483,2019,526000.0,petrol,1,hatchback,manual,regular,Gurgaon,2019,2025.0,6.0
15274106,Skoda,Superb,L&K TSI AT,98851,2016,1165443.0,petrol,2,sedan,automatic,DSG,Faridabad,2016,2025.0,7.0
15849045,Tata,Nexon,XZ Plus S,46475,2022,916000.0,petrol,1,suv,manual,regular,Ghaziabad,2022,2025.0,12.0
17368053,Maruti Suzuki,Baleno,Alpha Petrol,94057,2016,468000.0,petrol,1,hatchback,manual,regular,Delhi,2016,2025.0,12.0
16885812,Hyundai,Creta,1.6 SX Plus Auto,86415,2016,735000.0,diesel,2,suv,automatic,Torque Convertor,Ghaziabad,2016,2025.0,12.0
