id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
14037902,Ford,EcoSport,Titanium 1.5L Ti-VCT AT,78960,2016,575000.0,petrol,1,suv,automatic,Torque Convertor,Delhi,2016,2025.0,12.0
14202409,Maruti Suzuki,Baleno,Zeta Petrol,72343,2018,529000.0,petrol,1,hatchback,manual,regular,Delhi,2018,2025.0,12.0
17590683,Hyundai,i20 N Line,N8 1.0 Turbo DCT,18500,2021,954000.0,petrol,1,hatchback,automatic,DCT,Delhi,2021,2025.0,9.0
17200447,Maruti Suzuki,Baleno,Zeta Petrol,68000,2015,459000.0,petrol,1,hatchback,manual,regular,Delhi,2015,2025.0,12.0
17055162,MG Motors,Hector,1.5 Hybrid Smart,71153,2020,1082955.0,petrol,1,suv,manual,regular,Delhi,2021,2025.0,12.0
16874454,Maruti Suzuki,Baleno,Delta Petrol,63257,2018,508000.0,petrol,1,hatchback,manual,regular,Delhi,2018,2025.0,7.0
15375578,Honda,WR-V,i-VTEC VX,30737,2022,816000.0,petrol,1,suv,manual,regular,Delhi,2022,2025.0,12.0
15716088,Honda,Amaze,1.2 VX (O),50564,2015,409000.0,petrol,1,sedan,manual,regular,Delhi,2015,2025.0,12.0
17609334,Tata,Altroz,XZ Plus 1.5,23492,2023,849000.0,diesel,1,hatchback,manual,regular,Ghaziabad,2023,2025.0,12.0
17246504,Maruti Suzuki,Baleno,Alpha Petrol,73454,2016,493000.0,petrol,1,hatchback,manual,regular,Delhi,2016,2025.0,6.0
15715433,Hyundai,Venue,SX 1.5 CRDI,87056,2021,892000.0,diesel,1,suv,manual,regular,Delhi,2021,2025.0,12.0
17094361,Maruti Suzuki,Ciaz,Alpha Petrol,78787,2019,684000.0,petrol,1,sedan,manual,regular,Delhi,2019,2025.0,12.0
16968731,Maruti Suzuki,Baleno,Alpha Petrol,21676,2018,633000.0,petrol,1,hatchback,manual,regular,Delhi,2018,2025.0,12.0
14942617,Maruti Suzuki,Baleno,Delta Petrol,111156,2017,442000.0,petrol,1,hatchback,manual,regular,Delhi,2017,2025.0,12.0
13841795,Hyundai,Elite i20,Sportz 1.2,38139,2016,503000.0,petrol,1,hatchback,manual,regular,Delhi,2016,2025.0,12.0
16063072,Hyundai,Venue,SX 1.0  Turbo,53885,2020,714000.0,petrol,2,suv,manual,regular,Noida,2020,2025.0,6.0
16079801,Hyundai,Elite i20,Sportz 1.2,51459,2015,432000.0,petrol,2,hatchback,manual,regular,Delhi,2015,2025.0,12.0
16442785,Audi,A3,35 TFSI Premium Plus,62071,2019,2070358.0,petrol,2,sedan,automatic,DCT,Gurgaon,2019,2025.0,5.0
16629022,BMW,5 Series,530i Sport Line,52596,2020,4090358.0,petrol,1,sedan,automatic,,Faridabad,2020,2025.0,12.0
14717894,Jeep,Compass,Limited 2.0 Diesel,82950,2019,1060358.0,diesel,1,suv,manual,regular,Gurgaon,2019,2025.0,12.0
15818156,Hyundai,Venue,SX Plus 1.0 Turbo DCT Dual Tone,59728,2021,921000.0,petrol,1,suv,automatic,DCT,Noida,2021,2025.0,12.0
16728006,Maruti Suzuki,Baleno,Zeta Petrol,26831,2018,597000.0,petrol,1,hatchback,manual,regular,Delhi,2018,2025.0,5.0
16688955,Hyundai,Venue,SX 1.5 (O) executive CRDI,45662,2021,930000.0,diesel,1,suv,manual,regular,Delhi,2021,2025.0,12.0
16309915,Kia,Sonet,GTX Plus 1.5 AT,40115,2020,1075955.0,diesel,1,suv,automatic,Torque Convertor,Delhi,2020,2025.0,12.0
16636018,Maruti Suzuki,Baleno,Delta Petrol,27174,2017,508000.0,petrol,1,hatchback,manual,regular,Delhi,2017,2025.0,6.0
17116220,Maruti Suzuki,Ciaz,Alpha Petrol,41507,2018,698000.0,petrol,1,sedan,manual,regular,Delhi,2018,2025.0,7.0
15662925,Hyundai,Elite i20,Sportz 1.2,34001,2016,519000.0,petrol,1,hatchback,manual,regular,Delhi,2017,2025.0,12.0
16705838,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,29224,2019,511000.0,petrol,1,hatchback,manual,regular,Delhi,2019,2025.0,12.0
16464681,Hyundai,Venue,SX Plus 1.0 Turbo DCT,61604,2019,855000.0,petrol,1,suv,automatic,DCT,Noida,2019,2025.0,6.0
11296004,Mahindra,KUV100 NXT,K2 6 STR,16129,2018,366000.0,petrol,1,crossover,manual,regular,Delhi,2018,2025.0,12.0
14954829,Tata,Nexon,XZ Plus Petrol,51104,2019,669000.0,petrol,2,suv,manual,regular,Delhi,2019,2025.0,12.0
17142411,Hyundai,Elite i20,Sportz 1.2,47711,2017,490000.0,petrol,2,hatchback,manual,regular,Delhi,2017,2025.0,6.0
17243004,Ford,EcoSport,Titanium 1.5L Ti-VCT,77605,2017,516000.0,petrol,2,suv,manual,regular,Delhi,2017,2025.0,12.0
14878760,Maruti Suzuki,Ciaz,Alpha Petrol,49744,2017,594000.0,petrol,2,sedan,manual,regular,Delhi,2017,2025.0,12.0
14454977,Maruti Suzuki,Ciaz,ZXI AT,48763,2016,538000.0,petrol,2,sedan,automatic,,Delhi,2017,2025.0,12.0
15696361,Tata,Tiago,Revotron XE,19372,2020,405000.0,petrol,1,hatchback,manual,regular,Noida,2020,2025.0,12.0
16566880,Hyundai,Elite i20,Asta 1.2,114108,2014,409000.0,petrol,1,hatchback,manual,regular,Delhi,2014,2025.0,12.0
16629022,BMW,5 Series,530i Sport Line,52596,2020,4090358.0,petrol,1,sedan,automatic,,Faridabad,2020,2025.0,12.0
14717894,Jeep,Compass,Limited 2.0 Diesel,82950,2019,1060358.0,diesel,1,suv,manual,regular,Gurgaon,2019,2025.0,12.0
14719847,Jeep,Compass,Sport 1.4 Petrol,54846,2018,940000.0,petrol,2,suv,manual,regular,Gurgaon,2018,2025.0,12.0
16669792,Honda,Jazz,ZX CVT,26436,2021,831000.0,petrol,1,hatchback,automatic,CVT,Delhi,2021,2025.0,8.0
17234561,Hyundai,New i20,Asta (O) 1.0 Turbo DCT,16319,2021,868000.0,petrol,2,hatchback,automatic,DCT,Noida,2021,2025.0,10.0
17354117,Hyundai,Elite i20,Asta 1.2,49068,2014,469000.0,petrol,1,hatchback,manual,regular,Ghaziabad,2014,2025.0,8.0
16608919,Maruti Suzuki,Baleno,Delta Petrol,32737,2017,504000.0,petrol,1,hatchback,manual,regular,Noida,2017,2025.0,12.0
