id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
16367915,Tata,Nexon,XZA+ HS  AMT Petrol,25203,2022,959000.0,petrol,1,suv,automatic,AMT,Faridabad,2022,2025.0,10.0
13988123,Mahindra,XUV 300,W8 Petrol,21813,2022,924000.0,petrol,1,suv,manual,regular,Faridabad,2022,2025.0,12.0
16514387,Maruti Suzuki,Ignis,Zeta MT Petrol,24869,2021,540000.0,petrol,1,hatchback,manual,regular,Faridabad,2021,2025.0,12.0
16931626,Maruti Suzuki,Baleno,Delta AT Petrol,81861,2018,513000.0,petrol,1,hatchback,automatic,CVT,Faridabad,2018,2025.0,12.0
14224429,Maruti Suzuki,Baleno,Delta Petrol,45825,2017,488000.0,petrol,1,hatchback,manual,regular,Faridabad,2017,2025.0,12.0
14787756,Tata,Nexon,XZ Petrol,11961,2021,788000.0,petrol,1,suv,manual,regular,Faridabad,2021,2025.0,12.0
14839525,Honda,WR-V,i-VTEC VX Petrol + CNG (Outside Fitted),32690,2023,856000.0,petrol+cng,1,suv,manual,regular,Faridabad,2023,2025.0,12.0
14428853,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,60244,2014,317000.0,petrol,2,hatchback,manual,regular,Faridabad,2014,2025.0,6.0
15235225,Honda,Brio,S MT,99251,2016,329000.0,petrol,1,hatchback,manual,regular,Faridabad,2017,2025.0,12.0
16442785,Audi,A3,35 TFSI Premium Plus,62071,2019,2070358.0,petrol,2,sedan,automatic,DCT,Gurgaon,2019,2025.0,5.0
16629022,BMW,5 Series,530i Sport Line,52596,2020,4090358.0,petrol,1,sedan,automatic,,Faridabad,2020,2025.0,12.0
14717894,Jeep,Compass,Limited 2.0 Diesel,82950,2019,1060358.0,diesel,1,suv,manual,regular,Gurgaon,2019,2025.0,12.0
14719847,Jeep,Compass,Sport 1.4 Petrol,54846,2018,940000.0,petrol,2,suv,manual,regular,Gurgaon,2018,2025.0,12.0
15442843,Jeep,Compass,Limited (O) 1.4 Petrol DCT,37555,2021,1989558.0,petrol,1,suv,automatic,DCT,Delhi,2021,2025.0,4.0
15726932,Jeep,Compass,Limited (O) 1.4 Petrol DCT,26328,2021,1939058.0,petrol,1,suv,automatic,DCT,Delhi,2021,2025.0,12.0
13885098,Jeep,Compass,Limited (O) 1.4 Petrol DCT,43113,2021,1939058.0,petrol,1,suv,automatic,DCT,Gurgaon,2021,2025.0,12.0
14992299,Jeep,Compass,Limited (O) 1.4 Petrol DCT,36389,2021,1959258.0,petrol,1,suv,automatic,DCT,Gurgaon,2021,2025.0,12.0
15871312,Mercedes-Benz,GLA,200 CGI Sport,40109,2016,2120858.0,petrol,1,suv,automatic,DCT,Gurgaon,2017,2025.0,12.0
16851373,Audi,Q2,Standard 40 TFSI Quattro,18172,2020,2221858.0,petrol,2,suv,automatic,,Gurgaon,2020,2025.0,12.0
13815641,Audi,A4,Premium Plus 40 TFSI,34805,2021,3029858.0,petrol,2,sedan,automatic,,Faridabad,2021,2025.0,12.0
14495420,Tata,Nexon,XM S Petrol,29808,2022,782000.0,petrol,1,suv,manual,regular,Faridabad,2022,2025.0,12.0
18035572,Hyundai,Grand i10 Nios,Asta AMT 1.2 Kappa VTVT,16626,2022,729000.0,petrol,1,hatchback,automatic,AMT,Faridabad,2022,2025.0,12.0
15850119,Maruti Suzuki,Dzire,VXI AMT,76621,2018,550000.0,petrol,1,sedan,automatic,AMT,Faridabad,2018,2025.0,4.0
14782274,Honda,City,ZX CVT,31489,2019,951000.0,petrol,1,sedan,automatic,CVT,Faridabad,2019,2025.0,12.0
16091865,Honda,Jazz,X,97878,2012,279000.0,petrol,1,hatchback,manual,regular,Faridabad,2012,2025.0,12.0
17088499,Renault,Triber,RXL,40013,2021,512000.0,petrol,1,muv,manual,regular,Faridabad,2022,2025.0,12.0
15268195,Honda,City,V,51560,2014,507000.0,petrol,1,sedan,manual,regular,Faridabad,2014,2025.0,12.0
15934459,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,102677,2016,334000.0,petrol,2,hatchback,manual,regular,Faridabad,2017,,
16629022,BMW,5 Series,530i Sport Line,52596,2020,4090358.0,petrol,1,sedan,automatic,,Faridabad,2020,2025.0,12.0
