id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
17065631,Maruti Suzuki,Baleno,Delta Petrol,47198,2015,408000.0,petrol,2,hatchback,manual,regular,Gurgaon,2015,2025.0,12.0
17744917,MG Motors,Astor,Sharp EX 1.5 MT,28538,2022,1189683.0,petrol,1,suv,manual,regular,Gurgaon,2022,2025.0,8.0
17755648,Maruti Suzuki,Baleno,Alpha Petrol,49919,2018,568000.0,petrol,1,hatchback,manual,regular,Gurgaon,2018,2025.0,12.0
16601455,Maruti Suzuki,Baleno,Alpha Petrol,61987,2017,538000.0,petrol,1,hatchback,manual,regular,Gurgaon,2017,2025.0,12.0
16268285,Hyundai,Venue,SX 1.5 (O) executive CRDI,37613,2021,1042178.0,diesel,1,suv,manual,regular,Gurgaon,2021,2025.0,12.0
17052998,Tata,Altroz,XZ Plus 1.2 Turbo DT,11979,2023,829000.0,petrol,1,hatchback,manual,regular,Gurgaon,2023,2026.0,6.0
17626419,Honda,WR-V,VX i-VTEC,33062,2019,718000.0,petrol,1,suv,manual,regular,Gurgaon,2019,2025.0,12.0
16586649,Hyundai,Elite i20,Sportz 1.2,64032,2017,476000.0,petrol,2,hatchback,manual,regular,Gurgaon,2018,2025.0,12.0
13007829,Hyundai,Creta,1.6 SX OPT VTVT,113094,2018,832000.0,petrol,2,suv,manual,regular,Gurgaon,2018,2025.0,12.0
16846769,Maruti Suzuki,Baleno,Zeta Petrol,79351,2017,503000.0,petrol,1,hatchback,manual,regular,Gurgaon,2017,2025.0,12.0
17012447,Hyundai,Elite i20,Sportz 1.2,93763,2016,468000.0,petrol,1,hatchback,manual,regular,Gurgaon,2016,2025.0,10.0
17234023,Toyota,Innova Crysta,2.7 ZX 7 STR AT,120614,2016,1277455.0,petrol,1,muv,automatic,Torque Convertor,Gurgaon,2017,2025.0,12.0
16918578,Maruti Suzuki,Baleno,Delta Petrol,49250,2017,479000.0,petrol,1,hatchback,manual,regular,Gurgaon,2017,2025.0,12.0
16442785,Audi,A3,35 TFSI Premium Plus,62071,2019,2070358.0,petrol,2,sedan,automatic,DCT,Gurgaon,2019,2025.0,5.0
16629022,BMW,5 Series,530i Sport Line,52596,2020,4090358.0,petrol,1,sedan,automatic,,Faridabad,2020,2025.0,12.0
14717894,Jeep,Compass,Limited 2.0 Diesel,82950,2019,1060358.0,diesel,1,suv,manual,regular,Gurgaon,2019,2025.0,12.0
14719847,Jeep,Compass,Sport 1.4 Petrol,54846,2018,940000.0,petrol,2,suv,manual,regular,Gurgaon,2018,2025.0,12.0
15442843,Jeep,Compass,Limited (O) 1.4 Petrol DCT,37555,2021,1989558.0,petrol,1,suv,automatic,DCT,Delhi,2021,2025.0,4.0
15726932,Jeep,Compass,Limited (O) 1.4 Petrol DCT,26328,2021,1939058.0,petrol,1,suv,automatic,DCT,Delhi,2021,2025.0,12.0
