id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
16865388,Ford,EcoSport,Trend + 1.5L TDCi,68284,2016,598000.0,diesel,1,suv,manual,regular,Hyderabad,2016,2025.0,3.0
17775207,Maruti Suzuki,Swift,VXI (O),71729,2016,467000.0,petrol,1,hatchback,manual,regular,Hyderabad,2016,2025.0,6.0
16701194,Maruti Suzuki,Alto 800,LXI,45622,2013,239000.0,petrol,1,hatchback,manual,regular,Hyderabad,2013,2025.0,4.0
17507733,Hyundai,Venue,SX 1.0 (O) Turbo iMT Dual Tone Sport,54658,2020,919000.0,petrol,1,suv,manual,iMT,Hyderabad,2020,2025.0,8.0
16625379,Maruti Suzuki,Ritz,VXI,46305,2014,354000.0,petrol,1,hatchback,manual,regular,Hyderabad,2015,2025.0,12.0
16416266,Honda,Amaze,1.2 VX i-VTEC,81613,2015,472000.0,petrol,1,sedan,manual,regular,Hyderabad,2015,2025.0,12.0
17394989,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,21351,2019,574000.0,petrol,1,hatchback,manual,regular,Hyderabad,2019,2025.0,12.0
14594516,Hyundai,Grand i10,Asta 1.2 Kappa VTVT,54586,2014,440000.0,petrol,1,hatchback,manual,regular,Hyderabad,2014,2025.0,12.0
16859091,Maruti Suzuki,Ciaz,Alpha Diesel,70045,2018,849000.0,diesel,1,sedan,manual,regular,Hyderabad,2018,2025.0,12.0
14856660,Hyundai,Venue,SX 1.0  Turbo,44900,2019,803000.0,petrol,1,suv,manual,regular,Hyderabad,2020,2025.0,12.0
16903248,Hyundai,Elite i20,Asta 1.2,125784,2016,548000.0,petrol,1,hatchback,manual,regular,Hyderabad,2016,2025.0,5.0
17700453,Hyundai,i20 N Line,N8 1.0 Turbo iMT,55488,2021,795000.0,petrol,2,hatchback,manual,iMT,Hyderabad,2022,2025.0,12.0
17198073,Maruti Suzuki,Baleno,Alpha Petrol,102015,2017,587000.0,petrol,1,hatchback,manual,regular,Hyderabad,2017,2025.0,7.0
16786648,Maruti Suzuki,S-Presso,VXI Plus,96542,2021,406000.0,petrol,1,hatchback,manual,regular,Hyderabad,2021,2025.0,12.0
17346190,Maruti Suzuki,Alto 800,LXI CNG,119825,2015,254000.0,petrol+cng,1,hatchback,manual,regular,Hyderabad,2016,2025.0,12.0
17040145,Maruti Suzuki,Baleno,Alpha Petrol,44548,2020,663000.0,petrol,2,hatchback,manual,regular,Hyderabad,2020,2025.0,5.0
17094032,Hyundai,New Santro 1.1,Sportz MT,71280,2019,419000.0,petrol,1,hatchback,manual,regular,Hyderabad,2019,2025.0,12.0
17484888,Maruti Suzuki,Alto 800,VXI,67413,2014,251000.0,petrol,2,hatchback,manual,regular,Hyderabad,2014,2025.0,12.0
16861587,BMW,X1,sDrive20i xLine,34537,2019,2595558.0,petrol,2,suv,automatic,,Hyderabad,2019,2025.0,12.0
15122585,Jeep,Compass,Model S (O) Diesel 4x4 AT,26633,2021,2474358.0,diesel,1,suv,automatic,Torque Convertor,Hyderabad,2021,2025.0,12.0
15495075,Maruti Suzuki,Alto 800,LXI,18188,2019,307000.0,petrol,2,hatchback,manual,regular,Hyderabad,2019,2025.0,10.0
17794140,Maruti Suzuki,S-Presso,VXI (O),21561,2021,435000.0,petrol,1,hatchback,manual,regular,Hyderabad,2021,2025.0,3.0
17210284,Renault,Kiger,RXZ 1.0 Turbo MT Dual Tone,28843,2022,811000.0,petrol,1,suv,manual,regular,Hyderabad,2022,2025.0,12.0
17509290,Maruti Suzuki,Alto 800,VXI (O),26021,2016,306000.0,petrol,1,hatchback,manual,regular,Hyderabad,2016,2025.0,12.0
17250938,Maruti Suzuki,Alto 800,VXI,38466,2018,322000.0,petrol,2,hatchback,manual,regular,Hyderabad,2018,2025.0,8.0
17270042,Maruti Suzuki,Alto 800,LXI,43082,2016,270000.0,petrol,2,hatchback,manual,regular,Hyderabad,2016,2025.0,12.0
17751823,Maruti Suzuki,Alto K10,VXI (O),53386,2019,367000.0,petrol,1,hatchback,manual,regular,Hyderabad,2020,2025.0,9.0
17448364,Maruti Suzuki,Swift,ZXI,25537,2022,729000.0,petrol,1,hatchback,manual,regular,Hyderabad,2022,2025.0,12.0
17422231,Maruti Suzuki,Alto 800,LXI,39584,2017,312000.0,petrol,1,hatchback,manual,regular,Hyderabad,2017,2025.0,12.0
17509280,Maruti Suzuki,Alto 800,LXI (O),36815,2022,365000.0,petrol,1,hatchback,manual,regular,Hyderabad,2022,2025.0,12.0
15076626,Kia,Seltos,GTX Plus,102625,2020,1236000.0,petrol,1,suv,manual,regular,Hyderabad,2020,2025.0,12.0
16754529,Maruti Suzuki,S-Presso,VXI Plus,79798,2021,388000.0,petrol,1,hatchback,manual,regular,Hyderabad,2021,2025.0,9.0
16685837,Hyundai,Venue,SX Plus 1.0 Turbo DCT,110261,2020,885000.0,petrol,1,suv,automatic,DCT,Hyderabad,2020,2025.0,7.0
17201586,Maruti Suzuki,Alto K10,VXI,73598,2018,297000.0,petrol,2,hatchback,manual,regular,Hyderabad,2018,2025.0,12.0
17128728,Mahindra,XUV500,W6,108655,2016,854000.0,diesel,1,suv,manual,regular,Hyderabad,2016,2025.0,4.0
17388477,Maruti Suzuki,Wagon R 1.0,VXI,47958,2015,319000.0,petrol,3,hatchback,manual,regular,Hyderabad,2015,2025.0,5.0
17935230,Maruti Suzuki,Alto 800,LXI,58041,2014,242000.0,petrol,1,hatchback,manual,regular,Hyderabad,2015,2025.0,12.0
16523856,Maruti Suzuki,Alto K10,VXI,128340,2016,275000.0,petrol,1,hatchback,manual,regular,Hyderabad,2016,2025.0,12.0
15122585,Jeep,Compass,Model S (O) Diesel 4x4 AT,26633,2021,2474358.0,diesel,1,suv,automatic,Torque Convertor,Hyderabad,2021,2025.0,12.0
16422652,BMW,X1,sDrive20d xLine,34624,2019,2848058.0,diesel,2,suv,automatic,,Hyderabad,2020,2025.0,12.0
14949594,Hyundai,Creta,1.6 SX Plus Auto Petrol,50824,2018,1031000.0,petrol,2,suv,automatic,Torque Convertor,Hyderabad,2018,2025.0,12.0
