id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
15055909,Volkswagen,Taigun,Highline 1.0 TSI AT,34020,2022,1234001.0,petrol,1,suv,automatic,Torque Convertor,Indore,2022,2025.0,12.0
17358197,Volkswagen,Vento,1.6L Highline Petrol,66025,2016,557590.0,petrol,1,sedan,manual,regular,Indore,2016,2025.0,10.0
16145528,Hyundai,Elite i20,Sportz Plus 1.2,35310,2020,616000.0,petrol,1,hatchback,manual,regular,Indore,2020,2025.0,12.0
17189474,Hyundai,i20 N Line,N8 1.0 Turbo DCT,5562,2024,1176000.0,petrol,1,hatchback,automatic,DCT,Indore,2024,2025.0,12.0
15881120,Hyundai,Elite i20,Asta 1.2 (O),33449,2020,708000.0,petrol,1,hatchback,manual,regular,Indore,2020,2025.0,7.0
17671091,Volkswagen,Virtus,Topline 1.0 TSI AT,16679,2023,1457925.0,petrol,1,sedan,automatic,Torque Convertor,Indore,2023,2026.0,3.0
15818505,Kia,Seltos,GTX DCT,26709,2019,1202000.0,petrol,1,suv,automatic,DCT,Indore,2019,2025.0,12.0
15926428,Mahindra,XUV500,W7,82374,2021,1167002.0,diesel,1,suv,manual,regular,Indore,2021,2025.0,5.0
17220119,Maruti Suzuki,Vitara Brezza,VXI AT,57488,2021,783475.0,petrol,1,suv,automatic,,Indore,2021,2025.0,8.0
14114207,Maruti Suzuki,Fronx,Alpha 1.0L Turbo MT,22577,2023,994000.0,petrol,1,suv,manual,regular,Indore,2023,2025.0,5.0
16974196,Maruti Suzuki,Dzire,VXI AMT,14599,2022,741758.0,petrol,1,sedan,automatic,AMT,Indore,2022,2025.0,12.0
13542877,MG Motors,Astor,Smart 1.5 MT,52471,2022,1044000.0,petrol,1,suv,manual,CVT,Indore,2022,2025.0,12.0
15722147,Maruti Suzuki,Dzire,ZDi AMT,58230,2018,693000.0,diesel,1,sedan,automatic,AMT,Indore,2018,2025.0,12.0
17179962,Hyundai,Elite i20,Asta 1.2,24702,2018,607448.0,petrol,2,hatchback,manual,regular,Indore,2019,2025.0,12.0
17603582,Tata,Tiago NRG,XZA iCNG,2276,2024,781440.0,petrol+cng,1,hatchback,automatic,,Indore,2024,2025.0,8.0
16502900,Hyundai,Elite i20,Sportz 1.2,65688,2018,569000.0,petrol,1,hatchback,manual,regular,Indore,2018,2025.0,12.0
16571386,Mahindra,KUV100,K6+ 6 STR,34878,2017,382580.0,petrol,1,crossover,manual,regular,Indore,2017,2025.0,12.0
16231771,Toyota,Etios Liva,GD,110267,2017,495000.0,diesel,1,hatchback,manual,regular,Indore,2018,2025.0,12.0
