id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
14980051,Hyundai,Xcent,S Petrol,47696,2019,537000.0,petrol,1,sedan,manual,regular,Jaipur,2019,2025,12
16267246,Hyundai,New Santro 1.1,Magna AMT,14688,2020,477000.0,petrol,1,hatchback,automatic,AMT,Jaipur,2020,2025,12
17442134,Hyundai,Grand i10 Nios,Sportz 1.2 AMT,3412,2024,806358.0,petrol,1,hatchback,automatic,AMT,Jaipur,2024,2025,5
15383582,Hyundai,New Santro 1.1,Sportz MT,46604,2021,456000.0,petrol,1,hatchback,manual,regular,Jaipur,2022,2025,12
16581917,Hyundai,Grand i10 Nios,Asta AMT 1.2 Kappa VTVT,4261,2022,769000.0,petrol,1,hatchback,automatic,AMT,Jaipur,2022,2025,12
17109427,Hyundai,New Santro 1.1,Magna,32505,2021,460000.0,petrol,1,hatchback,manual,regular,Jaipur,2021,2025,12
15768417,Hyundai,New Santro 1.1,Sportz MT,24406,2020,451000.0,petrol,1,hatchback,manual,regular,Jaipur,2020,2025,12
15641802,Volkswagen,Virtus,Highline 1.0 TSI MT,6602,2022,1202154.0,petrol,1,sedan,manual,regular,Jaipur,2022,2025,12
15718041,Toyota,Etios,GD,80088,2013,388000.0,diesel,1,sedan,manual,regular,Jaipur,2013,2025,12
16860177,Hyundai,Verna,SX (O) 1.5 Turbo Petrol MT,21243,2023,1435000.0,petrol,1,sedan,manual,regular,Jaipur,2023,2025,12
16567782,Renault,Kwid,RXT,16739,2022,437000.0,petrol,1,hatchback,manual,regular,Jaipur,2022,2025,12
17835044,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT,17084,2022,656124.0,petrol,1,hatchback,manual,regular,Jaipur,2022,2025,9
16804972,Hyundai,Elite i20,Sportz Plus CVT,30174,2019,643000.0,petrol,2,hatchback,automatic,CVT,Jaipur,2019,2025,12
17100543,Tata,Tigor,Revotron XZ+ CNG,50653,2022,632618.0,petrol+cng,1,sedan,manual,regular,Jaipur,2022,2025,8
14678936,Volkswagen,Polo,Comfortline 1.0L (P),118482,2019,548814.0,petrol,1,hatchback,manual,regular,Jaipur,2019,2025,12
14291701,Hyundai,New Santro 1.1,Magna,37021,2019,388000.0,petrol,1,hatchback,manual,regular,Jaipur,2019,2025,12
16729058,Honda,City,V CVT,100113,2018,682696.0,petrol,1,sedan,automatic,CVT,Jaipur,2018,2025,12
14908387,Renault,Kwid,RXT,72923,2017,281000.0,petrol,1,hatchback,manual,regular,Jaipur,2017,2025,12
15653237,Ford,Figo,Duratec Petrol LXI 1.2,47964,2011,200000.0,petrol,1,hatchback,manual,regular,Jaipur,2011,2025,12
14901555,Nissan,Micra Active,XV,74123,2015,285138.0,petrol,2,hatchback,manual,regular,Jaipur,2016,2025,12
16567782,Renault,Kwid,RXT,16739,2022,437000.0,petrol,1,hatchback,manual,regular,Jaipur,2022,2025,12
16804972,Hyundai,Elite i20,Sportz Plus CVT,30174,2019,643000.0,petrol,2,hatchback,automatic,CVT,Jaipur,2019,2025,12
17427088,Maruti Suzuki,Wagon R 1.0,VXI,66236,2017,382228.0,petrol,1,hatchback,manual,regular,Jaipur,2017,2025,12
