id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
16173747,Maruti Suzuki,Ciaz,Alpha Petrol,34210,2020,762000.0,petrol,1,sedan,manual,regular,Kolkata,2020,2025.0,12.0
16206133,Maruti Suzuki,Wagon R 1.0,LXI CNG,40048,2021,508000.0,petrol+cng,1,hatchback,manual,regular,Kolkata,2021,2025.0,5.0
17227319,Volkswagen,Virtus,Highline 1.0 TSI MT,24983,2023,1106000.0,petrol,1,sedan,manual,regular,Kolkata,2023,2026.0,5.0
16795257,Renault,Kwid,1.0 RXT Opt,21261,2022,435000.0,petrol,1,hatchback,manual,regular,Kolkata,2022,2025.0,12.0
16264481,Skoda,Slavia,Style 1.5L TSI AT,10977,2022,1493693.0,petrol,1,sedan,automatic,DCT,Kolkata,2022,2025.0,9.0
17547361,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,37320,2019,452000.0,petrol,1,hatchback,manual,regular,Kolkata,2019,2025.0,12.0
15749412,Renault,Kwid,RXL 1.0 SCE,15180,2021,404000.0,petrol,1,hatchback,manual,regular,Kolkata,2021,2025.0,12.0
16539015,Maruti Suzuki,S-Presso,VXI Plus,19077,2022,473000.0,petrol,1,hatchback,manual,regular,Kolkata,2022,2025.0,12.0
17500410,Renault,Kiger,RXT Turbo CVT,10079,2022,845000.0,petrol,1,suv,automatic,CVT,Kolkata,2022,2025.0,6.0
16105823,Renault,Kiger,RXZ 1.0 Turbo MT,35690,2021,674353.0,petrol,1,suv,manual,regular,Kolkata,2021,2025.0,4.0
15848827,Maruti Suzuki,S-Presso,VXI Opt CNG,16110,2022,527000.0,petrol+cng,1,hatchback,manual,regular,Kolkata,2022,2025.0,12.0
16224496,Volkswagen,Polo,Highline Plus 1.0 TSI,34997,2020,647000.0,petrol,1,hatchback,manual,regular,Kolkata,2020,2025.0,12.0
16941784,Maruti Suzuki,Baleno,Zeta Petrol,38820,2020,601000.0,petrol,1,hatchback,manual,regular,Kolkata,2020,2025.0,12.0
16445325,Hyundai,Aura,SX 1.2 (O) Petrol,23769,2021,664000.0,petrol,1,sedan,manual,regular,Kolkata,2021,2025.0,4.0
16835883,Hyundai,Creta,SX Petrol,58653,2020,1045000.0,petrol,1,suv,manual,regular,Kolkata,2020,2025.0,8.0
17013510,Maruti Suzuki,S-Presso,VXI Plus,14444,2021,456000.0,petrol,1,hatchback,manual,regular,Kolkata,2021,2025.0,7.0
18204923,Hyundai,Venue,SX 1.0  Turbo iMT,39077,2021,839000.0,petrol,1,suv,manual,iMT,Kolkata,2021,2025.0,12.0
17203050,Honda,City,V 4th Gen,41984,2021,697000.0,petrol,1,sedan,manual,regular,Kolkata,2021,2025.0,12.0
16528134,Maruti Suzuki,Baleno,Alpha Petrol,89348,2016,428000.0,petrol,1,hatchback,manual,regular,Kolkata,2016,2025.0,7.0
15363254,Ford,Freestyle,Titanium 1.5 TDCI,101242,2018,447000.0,diesel,1,crossover,manual,regular,Kolkata,2019,2025.0,12.0
15848827,Maruti Suzuki,S-Presso,VXI Opt CNG,16110,2022,527000.0,petrol+cng,1,hatchback,manual,regular,Kolkata,2022,2025.0,12.0
16224496,Volkswagen,Polo,Highline Plus 1.0 TSI,34997,2020,647000.0,petrol,1,hatchback,manual,regular,Kolkata,2020,2025.0,12.0
16941784,Maruti Suzuki,Baleno,Zeta Petrol,38820,2020,601000.0,petrol,1,hatchback,manual,regular,Kolkata,2020,2025.0,12.0
16445325,Hyundai,Aura,SX 1.2 (O) Petrol,23769,2021,664000.0,petrol,1,sedan,manual,regular,Kolkata,2021,2025.0,4.0
16835883,Hyundai,Creta,SX Petrol,58653,2020,1045000.0,petrol,1,suv,manual,regular,Kolkata,2020,2025.0,8.0
17013510,Maruti Suzuki,S-Presso,VXI Plus,14444,2021,456000.0,petrol,1,hatchback,manual,regular,Kolkata,2021,2025.0,7.0
15637537,Nissan,Magnite,XV Premium Turbo (O) Dual Tone,6857,2022,843000.0,petrol,1,suv,manual,regular,Kolkata,2023,2025.0,12.0
17223450,Maruti Suzuki,Ciaz,Alpha Petrol,66725,2020,719000.0,petrol,1,sedan,manual,regular,Kolkata,2020,2025.0,12.0
16951530,Maruti Suzuki,S-Cross,Alpha 1.5,26115,2022,906000.0,petrol,1,suv,manual,regular,Kolkata,2022,2025.0,12.0
16707351,Hyundai,Aura,SX Plus 1.0 Petrol,23184,2020,643000.0,petrol,1,sedan,manual,regular,Kolkata,2021,2025.0,12.0
16781064,Honda,Jazz,ZX CVT,24494,2021,697000.0,petrol,2,hatchback,automatic,CVT,Kolkata,2021,2025.0,12.0
17713363,Honda,City,ZX,26025,2021,1042178.0,petrol,1,sedan,manual,regular,Kolkata,2021,2025.0,12.0
18296980,Hyundai,Venue,SX 1.0  Turbo iMT,20362,2022,875000.0,petrol,1,suv,manual,iMT,Kolkata,2022,2025.0,12.0
17773467,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT,39939,2022,597000.0,petrol,1,hatchback,manual,regular,Kolkata,2022,2025.0,12.0
