id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
15853562,Skoda,Kushaq,Active 1.0 TSI MT,28138,2022,893000.0,petrol,1,suv,manual,regular,Lucknow,2022,2025,12
14466918,Honda,Amaze,1.2 VX CVT i-VTEC,31819,2022,808000.0,petrol,1,sedan,automatic,CVT,Lucknow,2022,2025,12
15644337,Maruti Suzuki,Celerio,ZXI,22452,2022,511000.0,petrol,1,hatchback,manual,regular,Lucknow,2022,2025,12
16562699,Mahindra,Scorpio,S5,58723,2018,973000.0,diesel,1,suv,manual,regular,Lucknow,2018,2025,12
17214298,Hyundai,i20 N Line,N8 1.0 Turbo DCT,61658,2021,865000.0,petrol,1,hatchback,automatic,DCT,Lucknow,2021,2025,12
15729437,Jeep,Compass,Limited 1.4 Petrol AT,73741,2017,1047000.0,petrol,1,suv,automatic,DCT,Lucknow,2017,2025,12
13968740,MG Motors,Hector,2.0 Sharp Diesel Turbo,3437,2023,1776493.0,diesel,1,suv,manual,regular,Lucknow,2023,2025,12
17704219,Maruti Suzuki,Ignis,Sigma MT Petrol,46193,2022,432000.0,petrol,1,hatchback,manual,regular,Lucknow,2023,2025,12
16732026,Tata,Nexon,XZA Plus Premium Kaziranga Petrol,59999,2022,968000.0,petrol,1,suv,automatic,,Lucknow,2022,2025,12
14014692,Honda,Jazz,V CVT,21910,2022,760000.0,petrol,1,hatchback,automatic,CVT,Lucknow,2022,2025,12
16468011,Hyundai,Venue,SX Plus 1.0 Turbo DCT,30502,2020,895000.0,petrol,1,suv,automatic,DCT,Lucknow,2020,2025,12
16818171,Hyundai,New i20,Asta (O) 1.0 Turbo DCT,5726,2021,949000.0,petrol,1,hatchback,automatic,DCT,Lucknow,2021,2025,12
14922215,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT,22282,2022,627000.0,petrol,1,hatchback,manual,regular,Lucknow,2022,2025,9
14886584,Hyundai,Venue,SX 1.0 (O) Turbo,36861,2021,919000.0,petrol,1,suv,manual,regular,Lucknow,2021,2025,4
16686715,Hyundai,Elite i20,Asta 1.2,36295,2018,565000.0,petrol,1,hatchback,manual,regular,Lucknow,2018,2025,12
15372610,Hyundai,Fluidic Verna 4S,1.6 CRDi SX (O),77185,2016,604000.0,diesel,2,sedan,manual,regular,Lucknow,2016,2025,12
17241450,Honda,BR-V,VX MT Diesel,105895,2018,728000.0,diesel,1,suv,manual,regular,Lucknow,2018,2025,12
16538771,Toyota,Urban Cruiser,Premium Grade MT,48147,2021,695000.0,petrol,2,suv,manual,regular,Lucknow,2021,2025,12
17347635,Maruti Suzuki,Vitara Brezza,ZDi AMT,67697,2018,689000.0,diesel,1,suv,automatic,AMT,Lucknow,2018,2025,7
15042283,Hyundai,Verna,S+ Diesel,71941,2022,858000.0,diesel,1,sedan,manual,regular,Lucknow,2022,2025,12
16468011,Hyundai,Venue,SX Plus 1.0 Turbo DCT,30502,2020,895000.0,petrol,1,suv,automatic,DCT,Lucknow,2020,2025,12
16818171,Hyundai,New i20,Asta (O) 1.0 Turbo DCT,5726,2021,949000.0,petrol,1,hatchback,automatic,DCT,Lucknow,2021,2025,12
14922215,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT,22282,2022,627000.0,petrol,1,hatchback,manual,regular,Lucknow,2022,2025,9
14886584,Hyundai,Venue,SX 1.0 (O) Turbo,36861,2021,919000.0,petrol,1,suv,manual,regular,Lucknow,2021,2025,4
16686715,Hyundai,Elite i20,Asta 1.2,36295,2018,565000.0,petrol,1,hatchback,manual,regular,Lucknow,2018,2025,12
16457688,Maruti Suzuki,Baleno,Zeta Petrol,22430,2020,637000.0,petrol,1,hatchback,manual,regular,Lucknow,2020,2025,12
16884060,Maruti Suzuki,Ignis,Zeta MT Petrol,14432,2021,540000.0,petrol,1,hatchback,manual,regular,Lucknow,2021,2025,12
15921554,Toyota,Glanza,G,63328,2021,607000.0,petrol,1,hatchback,manual,regular,Lucknow,2022,2025,7
16990281,Hyundai,Grand i10 Nios,Sportz 1.2 Kappa VTVT CNG,38579,2022,692000.0,petrol+cng,1,hatchback,manual,regular,Lucknow,2022,2025,4
14129748,Honda,City,V 4th Gen,35932,2017,640000.0,petrol,1,sedan,manual,regular,Lucknow,2017,2025,12
16735363,Maruti Suzuki,Ignis,Alpha AMT Petrol,5685,2021,668000.0,petrol,1,hatchback,automatic,AMT,Lucknow,2021,2025,8
16527572,Hyundai,Elite i20,Sportz Plus 1.2,38113,2020,618000.0,petrol,1,hatchback,manual,regular,Lucknow,2020,2025,12
16245419,Hyundai,Grand i10 Nios,Magna Corp Edition Petrol,27485,2022,520000.0,petrol,1,hatchback,manual,regular,Lucknow,2022,2025,12
17514478,Honda,Amaze,1.2 VX CVT i-VTEC,11061,2023,879000.0,petrol,1,sedan,automatic,CVT,Lucknow,2023,2026,3
16981443,Skoda,Kushaq,Style 1.0L TSI AT,26436,2021,1278534.0,petrol,1,suv,automatic,Torque Convertor,Lucknow,2021,2025,12
18207786,Hyundai,Venue,SX 1.2 Petrol,121667,2022,829000.0,petrol,1,suv,manual,regular,Lucknow,2022,2025,12
15337131,Ford,EcoSport,Titanium 1.5L Ti-VCT,91712,2020,648000.0,petrol,1,suv,manual,regular,Lucknow,2020,2025,12
17262022,Renault,Kwid,RXL(O) 1.0 Petrol MT SCE,37438,2021,389000.0,petrol,1,hatchback,manual,regular,Lucknow,2021,2025,12
17394689,Maruti Suzuki,Ciaz,Zeta Petrol+CNG (Outside FItted),90288,2021,697000.0,petrol+cng,1,sedan,manual,regular,Lucknow,2021,2025,8
15672030,Honda,Amaze,1.5 VX i-DTEC,107337,2020,689000.0,diesel,1,sedan,manual,regular,Lucknow,2020,2025,12
16735363,Maruti Suzuki,Ignis,Alpha AMT Petrol,5685,2021,668000.0,petrol,1,hatchback,automatic,AMT,Lucknow,2021,2025,8
16527572,Hyundai,Elite i20,Sportz Plus 1.2,38113,2020,618000.0,petrol,1,hatchback,manual,regular,Lucknow,2020,2025,12
16245419,Hyundai,Grand i10 Nios,Magna Corp Edition Petrol,27485,2022,520000.0,petrol,1,hatchback,manual,regular,Lucknow,2022,2025,12
17514478,Honda,Amaze,1.2 VX CVT i-VTEC,11061,2023,879000.0,petrol,1,sedan,automatic,CVT,Lucknow,2023,2026,3
16981443,Skoda,Kushaq,Style 1.0L TSI AT,26436,2021,1278534.0,petrol,1,suv,automatic,Torque Convertor,Lucknow,2021,2025,12
16949832,Nissan,Sunny,XL Diesel Special Edition,35307,2018,529000.0,diesel,1,sedan,manual,regular,Lucknow,2020,2025,12
16223240,Hyundai,New Santro 1.1,Sportz MT,57505,2022,458000.0,petrol,1,hatchback,manual,regular,Lucknow,2022,2025,12
14032477,Tata,Nexon,XZ Plus Premium,6658,2022,956000.0,petrol,1,suv,manual,regular,Lucknow,2022,2025,12
15507628,Honda,City,V 5th Gen,28239,2021,927000.0,petrol,1,sedan,manual,regular,Lucknow,2021,2025,12
12901979,Kia,Sonet,GTX Plus 1.5 AT,72640,2020,980000.0,diesel,1,suv,automatic,Torque Convertor,Lucknow,2020,2025,12
16062091,Skoda,Slavia,Ambition 1.0L TSI MT,76083,2022,935000.0,petrol,1,sedan,manual,regular,Lucknow,2022,2025,12
17012492,Tata,Nexon,XZA Plus AMT Petrol,19042,2021,779000.0,petrol,2,suv,automatic,AMT,Lucknow,2021,2025,5
16933408,Tata,Tigor,Revotron XZ+,10058,2023,694000.0,petrol,1,sedan,manual,regular,Lucknow,2023,2026,9
17180325,Mahindra,Thar,LX 4 STR Hard Top Diesel AT 4WD,45289,2021,1342095.0,diesel,1,suv,automatic,Torque Convertor,Lucknow,2021,2025,12
14399279,Renault,Kiger,RXZ 1.0 Turbo MT,43108,2021,722000.0,petrol,1,suv,manual,regular,Lucknow,2021,2025,12
14160606,Toyota,Glanza,V,40411,2020,651000.0,petrol,1,hatchback,manual,regular,Lucknow,2020,2025,12
15695751,Hyundai,Verna,SX Petrol,124074,2020,792000.0,petrol,1,sedan,manual,regular,Lucknow,2020,2025,12
17017814,Renault,Kwid,RXL,36304,2020,315000.0,petrol,2,hatchback,manual,regular,Lucknow,2020,2025,4
14002019,Maruti Suzuki,Celerio,ZXI AMT,114477,2016,339000.0,petrol,1,hatchback,automatic,AMT,Lucknow,2016,2025,12
17038669,Maruti Suzuki,Wagon R 1.0,LXI,36625,2013,249000.0,petrol,1,hatchback,manual,regular,Lucknow,2013,2025,12
16062091,Skoda,Slavia,Ambition 1.0L TSI MT,76083,2022,935000.0,petrol,1,sedan,manual,regular,Lucknow,2022,2025,12
17012492,Tata,Nexon,XZA Plus AMT Petrol,19042,2021,779000.0,petrol,2,suv,automatic,AMT,Lucknow,2021,2025,5
16933408,Tata,Tigor,Revotron XZ+,10058,2023,694000.0,petrol,1,sedan,manual,regular,Lucknow,2023,2026,9
17180325,Mahindra,Thar,LX 4 STR Hard Top Diesel AT 4WD,45289,2021,1342095.0,diesel,1,suv,automatic,Torque Convertor,Lucknow,2021,2025,12
14399279,Renault,Kiger,RXZ 1.0 Turbo MT,43108,2021,722000.0,petrol,1,suv,manual,regular,Lucknow,2021,2025,12
14160606,Toyota,Glanza,V,40411,2020,651000.0,petrol,1,hatchback,manual,regular,Lucknow,2020,2025,12
15534227,Honda,City,V 5th Gen,30323,2021,907000.0,petrol,1,sedan,manual,regular,Lucknow,2021,2025,12
13624631,Honda,WR-V,VX i-VTEC,25375,2020,698000.0,petrol,1,suv,manual,regular,Lucknow,2020,2025,12
15467057,Mahindra,Thar,LX 4 STR Hard Top Diesel AT 4WD,15060,2021,1391000.0,diesel,1,suv,automatic,Torque Convertor,Lucknow,2021,2025,12
16352635,Hyundai,New Santro 1.1,Sportz MT,20430,2021,479000.0,petrol,1,hatchback,manual,regular,Lucknow,2021,2025,10
17160744,Maruti Suzuki,Grand Vitara,Delta Smart Hybrid AT,12487,2023,1241193.0,petrol,1,suv,automatic,,Lucknow,2023,2025,8
16145697,Mahindra,Thar,LX 4 STR Hard Top Petrol AT 4WD,17367,2021,1291000.0,petrol,1,suv,automatic,Torque Convertor,Lucknow,2021,2025,12
17015740,Hyundai,Elite i20,Asta 1.2,43404,2018,579000.0,petrol,1,hatchback,manual,regular,Lucknow,2018,2025,12
17418469,Maruti Suzuki,Ignis,Delta AMT Petrol,47340,2018,449000.0,petrol,1,hatchback,automatic,AMT,Lucknow,2019,2025,12
16632570,Honda,City,V Diesel,43002,2021,1042223.0,diesel,1,sedan,manual,regular,Lucknow,2022,2025,4
17661440,Maruti Suzuki,S-Cross,Zeta 1.5,22054,2021,792000.0,petrol,1,suv,manual,regular,Lucknow,2021,2025,12
15653897,Toyota,Innova,2.5 GX 8 STR,105083,2013,622000.0,diesel,1,muv,manual,regular,Lucknow,2013,2025,12
17311180,Maruti Suzuki,Wagon R 1.0,VXI,65557,2014,276000.0,petrol,1,hatchback,manual,regular,Lucknow,2014,2025,4
17445405,Hyundai,i10,Magna 1.2 Petrol,49499,2011,214000.0,petrol,1,hatchback,manual,regular,Lucknow,2011,2025,12
16792317,Maruti Suzuki,Wagon R 1.0,VXI,52353,2014,277000.0,petrol,1,hatchback,manual,regular,Lucknow,2014,2025,7
17160744,Maruti Suzuki,Grand Vitara,Delta Smart Hybrid AT,12487,2023,1241193.0,petrol,1,suv,automatic,,Lucknow,2023,2025,8
16145697,Mahindra,Thar,LX 4 STR Hard Top Petrol AT 4WD,17367,2021,1291000.0,petrol,1,suv,automatic,Torque Convertor,Lucknow,2021,2025,12
17015740,Hyundai,Elite i20,Asta 1.2,43404,2018,579000.0,petrol,1,hatchback,manual,regular,Lucknow,2018,2025,12
17418469,Maruti Suzuki,Ignis,Delta AMT Petrol,47340,2018,449000.0,petrol,1,hatchback,automatic,AMT,Lucknow,2019,2025,12
16632570,Honda,City,V Diesel,43002,2021,1042223.0,diesel,1,sedan,manual,regular,Lucknow,2022,2025,4
17661440,Maruti Suzuki,S-Cross,Zeta 1.5,22054,2021,792000.0,petrol,1,suv,manual,regular,Lucknow,2021,2025,12
15813786,Maruti Suzuki,S-Cross,Zeta 1.5,50623,2021,760000.0,petrol,1,suv,manual,regular,Lucknow,2021,2025,12
16202058,Tata,Tigor,XZ Petrol,22131,2022,592000.0,petrol,1,sedan,manual,regular,Lucknow,2022,2025,12
16215092,Honda,Amaze,1.2 VX i-VTEC,26734,2022,735000.0,petrol,1,sedan,manual,regular,Lucknow,2022,2025,5
17241685,Tata,Tiago,XZ Plus Dual Tone Roof,33707,2021,549000.0,petrol,1,hatchback,manual,regular,Lucknow,2021,2025,5
15670942,Hyundai,Elite i20,Sportz Plus 1.2,66069,2019,552000.0,petrol,1,hatchback,manual,regular,Lucknow,2019,2025,5
15466566,Hyundai,Elite i20,Sportz 1.2,49409,2017,475000.0,petrol,1,hatchback,manual,regular,Lucknow,2018,2025,12
16829674,Maruti Suzuki,Baleno,Delta Petrol,18338,2016,485000.0,petrol,1,hatchback,manual,regular,Lucknow,2016,2025,7
