id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
16464681,Hyundai,Venue,SX Plus 1.0 Turbo DCT,61604,2019,855000.0,petrol,1,suv,automatic,DCT,Noida,2019,2025.0,6.0
16505754,Ford,EcoSport,Sports Petrol,45441,2021,865000.0,petrol,1,suv,manual,regular,Noida,2021,2025.0,4.0
17234561,Hyundai,New i20,Asta (O) 1.0 Turbo DCT,16319,2021,868000.0,petrol,2,hatchback,automatic,DCT,Noida,2021,2025.0,10.0
17354117,Hyundai,Elite i20,Asta 1.2,49068,2014,469000.0,petrol,1,hatchback,manual,regular,Ghaziabad,2014,2025.0,8.0
16608919,Maruti Suzuki,Baleno,Delta Petrol,32737,2017,504000.0,petrol,1,hatchback,manual,regular,Noida,2017,2025.0,12.0
15277136,Hyundai,i20 N Line,N8 1.0 Turbo iMT Dual Tone,23037,2022,899000.0,petrol,1,hatchback,manual,iMT,Ghaziabad,2022,2025.0,12.0
17328409,Maruti Suzuki,Baleno,Delta AT Petrol,22091,2020,625000.0,petrol,1,hatchback,automatic,CVT,Ghaziabad,2020,2025.0,9.0
16563809,Maruti Suzuki,Swift,ZXI Plus,67303,2018,577000.0,petrol,1,hatchback,manual,regular,Ghaziabad,2018,2025.0,12.0
16666429,Tata,Tiago,Revotron XZ Plus,55594,2019,426000.0,petrol,2,hatchback,manual,regular,Ghaziabad,2019,2025.0,12.0
16154189,Hyundai,Elite i20,Sportz 1.2,48749,2016,465000.0,petrol,2,hatchback,manual,regular,Ghaziabad,2016,2025.0,12.0
14479733,Hyundai,Elite i20,Asta 1.2,90424,2015,458000.0,petrol,1,hatchback,manual,regular,Noida,2015,2025.0,4.0
16196532,Hyundai,Creta,1.6 SX Plus Auto Petrol,94262,2017,833000.0,petrol,1,suv,automatic,Torque Convertor,Ghaziabad,2017,2025.0,5.0
15594918,Maruti Suzuki,Baleno,Alpha Petrol,45830,2018,580000.0,petrol,1,hatchback,manual,regular,Ghaziabad,2018,2025.0,12.0
14670769,Renault,Duster,RXS CVT Petrol,57124,2017,529000.0,petrol,2,suv,automatic,CVT,Ghaziabad,2017,2025.0,12.0
