id,make,model,variant,mileange,make_year,price,fuel_type,no_of_owners,body_type,transmission,transmission_sub_type,city,registration_year,insurance_year,insurance_month
16970434,Maruti Suzuki,Baleno,Zeta Petrol,47737,2016,531000.0,petrol,1,hatchback,manual,regular,Pune,2016,2025.0,12.0
17399467,Maruti Suzuki,Swift Dzire,ZXI,44600,2015,512000.0,petrol,1,sedan,manual,regular,Pune,2015,2025.0,12.0
17672866,Hyundai,Venue,SX Plus 1.0 Turbo DCT,36615,2020,920000.0,petrol,1,suv,automatic,DCT,Pune,2020,2025.0,4.0
15977118,Nissan,Magnite,XV Premium Turbo CVT (O) Dual Tone,21438,2021,917000.0,petrol,1,suv,automatic,CVT,Pune,2021,2025.0,6.0
16946849,Honda,Amaze,1.2L S,49431,2016,463000.0,petrol,1,sedan,manual,regular,Pune,2016,2025.0,12.0
17662241,Renault,Kwid,1.0L RXT(O) AMT,18253,2021,465000.0,petrol,1,hatchback,automatic,,Pune,2021,2025.0,9.0
16847753,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,30348,2017,480000.0,petrol,1,hatchback,manual,regular,Pune,2017,2025.0,9.0
17053372,Kia,Sonet,HTX 1.0 iMT,23581,2021,954000.0,petrol,1,suv,manual,iMT,Pune,2021,2025.0,12.0
16039241,Mahindra,Thar,LX 4 STR Convertible Diesel MT 4WD,30420,2020,1140095.0,diesel,2,suv,manual,regular,Pune,2020,2025.0,12.0
16326270,Maruti Suzuki,Ignis,Alpha MT Petrol,52025,2017,488000.0,petrol,1,hatchback,manual,regular,Pune,2017,2025.0,6.0
16108641,Honda,Amaze,1.5L SX,94480,2014,392000.0,diesel,2,sedan,manual,regular,Pune,2014,2025.0,5.0
15991572,Hyundai,Xcent,SX Petrol,103355,2017,508000.0,petrol,2,sedan,manual,regular,Pune,2017,2025.0,12.0
16265769,Honda,Jazz,V,53276,2015,435000.0,petrol,2,hatchback,manual,regular,Pune,2015,2025.0,5.0
16253878,Hyundai,Creta,1.6 SX,117520,2018,1015000.0,diesel,1,suv,manual,regular,Pune,2018,2025.0,12.0
17224271,Hyundai,i10,Sportz 1.2 Petrol,42256,2012,227000.0,petrol,3,hatchback,manual,regular,Pune,2012,2025.0,5.0
16841358,Maruti Suzuki,Wagon R 1.0,VXI Petrol + CNG (Outside Fitted),84881,2011,260000.0,petrol+cng,1,hatchback,manual,regular,Pune,2011,2025.0,12.0
13078347,BMW,5 Series,520d Luxury Line,75595,2014,1696658.0,diesel,2,sedan,automatic,,Pune,2014,2025.0,12.0
14761904,Tata EV,Nexon EV,XZ Plus LUX,50653,2020,895000.0,electric,1,suv,automatic,,Pune,2020,,
12578376,Mercedes-Benz,CLA,200 CDI Sport,35893,2015,1747158.0,diesel,2,sedan,automatic,,Pune,2016,2025.0,12.0
15994166,Mercedes-Benz,A-Class,A 180 CDI Sport,65336,2014,1363358.0,diesel,1,hatchback,automatic,,Pune,2015,2025.0,12.0
17310907,Honda,Amaze,1.2 VX CVT i-VTEC,16726,2022,853000.0,petrol,1,sedan,automatic,CVT,Pune,2022,2025.0,12.0
16936868,Hyundai,Xcent,SX (O) Petrol,58506,2018,553000.0,petrol,1,sedan,manual,regular,Pune,2019,2025.0,12.0
17183539,Hyundai,Grand i10,Magna 1.2 Kappa VTVT,32858,2017,448000.0,petrol,1,hatchback,manual,regular,Pune,2017,2025.0,12.0
17040809,Maruti Suzuki,Swift,ZXI,60662,2015,448000.0,petrol,2,hatchback,manual,regular,Pune,2015,2025.0,6.0
17867330,Hyundai,Venue,SX (O) 1.0 Turbo DCT,13174,2024,1332093.0,petrol,1,suv,automatic,DCT,Pune,2024,2025.0,12.0
16911035,Maruti Suzuki,Dzire,ZXI Plus,33659,2018,622000.0,petrol,1,sedan,manual,regular,Pune,2018,2025.0,12.0
17233969,Maruti Suzuki,Ciaz,Alpha Petrol,30459,2021,912000.0,petrol,1,sedan,manual,regular,Pune,2021,2025.0,3.0
